Data do jogo,Adversário,Vitória ou derrota,Casa ou fora,Placar
"FEB 01, 2025",CHA,Vitória,Fora,104 - 107
"JAN 31, 2025",PHI,Vitória,Fora,134 - 137
"JAN 29, 2025",NYK,Derrota,Fora,122 - 112
"JAN 27, 2025",CHI,Derrota,Fora,129 - 121
"JAN 25, 2025",MIN,Derrota,Fora,133 - 104
"JAN 23, 2025",SAC,Vitória,Casa,132 - 123
"JAN 21, 2025",PHI,Vitória,Casa,144 - 109
"JAN 19, 2025",ORL,Vitória,Fora,100 - 113
"JAN 17, 2025",MIA,Vitória,Fora,113 - 133
"JAN 15, 2025",HOU,Derrota,Casa,108 - 128
"JAN 14, 2025",DAL,Vitória,Fora,99 - 118
"JAN 12, 2025",DAL,Vitória,Fora,101 - 112
"JAN 10, 2025",BKN,Vitória,Casa,124 - 105
"JAN 08, 2025",LAC,Vitória,Casa,126 - 103
"JAN 07, 2025",BOS,Derrota,Casa,106 - 118
"JAN 04, 2025",SAS,Vitória,Fora,111 - 122
"JAN 03, 2025",SAS,Derrota,Casa,110 - 113
"JAN 01, 2025",ATL,Vitória,Casa,139 - 120
"DEC 30, 2024",UTA,Vitória,Fora,121 - 132
"DEC 28, 2024",DET,Vitória,Casa,134 - 121
"DEC 27, 2024",CLE,Derrota,Casa,135 - 149
"DEC 25, 2024",PHX,Derrota,Fora,110 - 100
"DEC 23, 2024",PHX,Vitória,Casa,117 - 90
"DEC 22, 2024",NOP,Vitória,Fora,129 - 132
"DEC 19, 2024",POR,Derrota,Fora,126 - 124
"DEC 16, 2024",SAC,Vitória,Fora,129 - 130
"DEC 13, 2024",LAC,Vitória,Casa,120 - 98
"DEC 08, 2024",ATL,Vitória,Fora,111 - 141
"DEC 07, 2024",WAS,Derrota,Fora,122 - 113
"DEC 05, 2024",CLE,Derrota,Fora,126 - 114
"DEC 03, 2024",GSW,Vitória,Casa,119 - 115
"DEC 01, 2024",LAC,Derrota,Fora,126 - 122
"NOV 27, 2024",UTA,Vitória,Fora,103 - 122
"NOV 25, 2024",NYK,Derrota,Casa,118 - 145
"NOV 23, 2024",LAL,Vitória,Fora,102 - 127
"NOV 22, 2024",DAL,Derrota,Casa,120 - 123
"NOV 19, 2024",MEM,Vitória,Fora,110 - 122
"NOV 17, 2024",MEM,Derrota,Fora,105 - 90
"NOV 15, 2024",NOP,Derrota,Fora,101 - 94
"NOV 10, 2024",DAL,Vitória,Casa,122 - 120
"NOV 08, 2024",MIA,Vitória,Casa,135 - 122
"NOV 06, 2024",OKC,Vitória,Casa,124 - 122
"NOV 04, 2024",TOR,Vitória,Casa,121 - 119
"NOV 02, 2024",UTA,Vitória,Casa,129 - 103
"NOV 01, 2024",MIN,Derrota,Fora,119 - 116
"OCT 29, 2024",BKN,Vitória,Fora,139 - 144
"OCT 28, 2024",TOR,Vitória,Fora,125 - 127
"OCT 26, 2024",LAC,Derrota,Casa,104 - 109
"OCT 24, 2024",OKC,Derrota,Casa,87 - 102
