Jogador,Data do jogo,Adversário,Vitória ou derrota,Casa ou fora,Pontos,Rebotes,Assistências,Placar,Tentativas de cesta de 3 pontos,Cestas de 3 pontos marcadas,Tempo de permanência
Jamal Murray,2024-10-24,OKC,Derrota,Casa,12,6,4,102 - 87,5,2,38
Nikola Jokić,2024-10-24,OKC,Derrota,Casa,16,12,13,102 - 87,3,1,35
Michael Porter Jr.,2024-10-24,OKC,Derrota,Casa,15,8,2,102 - 87,10,3,32
Nikola Jokić,2024-10-26,LAC,Derrota,Casa,41,9,4,109 - 104,12,7,37
Michael Porter Jr.,2024-10-26,LAC,Derrota,Casa,9,9,3,109 - 104,6,0,38
Jamal Murray,2024-10-26,LAC,Derrota,Casa,22,2,5,109 - 104,6,3,37
Jamal Murray,2024-10-28,TOR,Vitória,Fora,17,9,7,125 - 127,2,0,40
Michael Porter Jr.,2024-10-28,TOR,Vitória,Fora,13,9,2,125 - 127,4,1,39
Nikola Jokić,2024-10-28,TOR,Vitória,Fora,40,10,4,125 - 127,5,3,44
Jamal Murray,2024-10-29,BKN,Vitória,Fora,24,3,3,139 - 144,7,2,37
Nikola Jokić,2024-10-29,BKN,Vitória,Fora,29,18,16,139 - 144,0,0,41
Michael Porter Jr.,2024-10-29,BKN,Vitória,Fora,16,5,2,139 - 144,7,4,41
Nikola Jokić,2024-11-01,MIN,Derrota,Fora,26,9,13,119 - 116,3,2,40
Michael Porter Jr.,2024-11-01,MIN,Derrota,Fora,26,6,4,119 - 116,7,3,39
Jamal Murray,2024-11-01,MIN,Derrota,Fora,6,2,3,119 - 116,3,0,22
Nikola Jokić,2024-11-02,UTA,Vitória,Casa,27,16,9,103 - 129,4,3,30
Michael Porter Jr.,2024-11-02,UTA,Vitória,Casa,20,5,2,103 - 129,6,4,29
Nikola Jokić,2024-11-04,TOR,Vitória,Casa,28,14,13,119 - 121,5,1,38
Michael Porter Jr.,2024-11-04,TOR,Vitória,Casa,19,9,3,119 - 121,10,3,36
Nikola Jokić,2024-11-06,OKC,Vitória,Casa,23,20,16,122 - 124,3,1,39
Michael Porter Jr.,2024-11-06,OKC,Vitória,Casa,24,7,3,122 - 124,10,6,41
Nikola Jokić,2024-11-08,MIA,Vitória,Casa,30,11,14,122 - 135,1,1,40
Michael Porter Jr.,2024-11-08,MIA,Vitória,Casa,21,5,4,122 - 135,10,5,36
Jamal Murray,2024-11-08,MIA,Vitória,Casa,28,4,6,122 - 135,10,4,35
Michael Porter Jr.,2024-11-10,DAL,Vitória,Casa,17,7,4,120 - 122,6,2,36
Jamal Murray,2024-11-10,DAL,Vitória,Casa,18,1,6,120 - 122,6,2,38
Nikola Jokić,2024-11-10,DAL,Vitória,Casa,37,18,15,120 - 122,3,3,38
Michael Porter Jr.,2024-11-15,NOP,Derrota,Fora,24,6,3,101 - 94,7,4,39
Jamal Murray,2024-11-15,NOP,Derrota,Fora,16,6,8,101 - 94,8,2,43
Michael Porter Jr.,2024-11-17,MEM,Derrota,Fora,10,3,1,105 - 90,4,0,27
Jamal Murray,2024-11-17,MEM,Derrota,Fora,13,6,7,105 - 90,6,1,37
Michael Porter Jr.,2024-11-19,MEM,Vitória,Fora,24,11,3,110 - 122,4,0,40
Jamal Murray,2024-11-19,MEM,Vitória,Fora,27,4,6,110 - 122,10,5,36
Nikola Jokić,2024-11-22,DAL,Derrota,Casa,33,17,10,123 - 120,2,2,39
Michael Porter Jr.,2024-11-22,DAL,Derrota,Casa,17,5,5,123 - 120,3,2,36
Jamal Murray,2024-11-22,DAL,Derrota,Casa,14,5,11,123 - 120,11,4,39
Michael Porter Jr.,2024-11-23,LAL,Vitória,Fora,24,11,4,102 - 127,7,4,36
Nikola Jokić,2024-11-23,LAL,Vitória,Fora,34,13,8,102 - 127,7,3,37
Jamal Murray,2024-11-23,LAL,Vitória,Fora,14,5,5,102 - 127,4,2,30
Jamal Murray,2024-11-25,NYK,Derrota,Casa,20,4,7,145 - 118,5,1,31
Nikola Jokić,2024-11-25,NYK,Derrota,Casa,22,7,7,145 - 118,7,2,32
Michael Porter Jr.,2024-11-25,NYK,Derrota,Casa,18,10,0,145 - 118,7,3,34
Michael Porter Jr.,2024-11-27,UTA,Vitória,Fora,19,7,4,103 - 122,6,2,31
Jamal Murray,2024-11-27,UTA,Vitória,Fora,22,4,8,103 - 122,6,1,36
