Data do jogo,Adversário,Vitória ou derrota,Casa ou fora
"APR 14, 2024",MEM,Vitória,Fora
"APR 12, 2024",SAS,Derrota,Fora
"APR 10, 2024",MIN,Vitória,Casa
"APR 09, 2024",UTA,Vitória,Fora
"APR 06, 2024",ATL,Vitória,Casa
"APR 04, 2024",LAC,Derrota,Fora
"APR 02, 2024",SAS,Vitória,Casa
"MAR 31, 2024",CLE,Vitória,Casa
"MAR 29, 2024",MIN,Derrota,Casa
"MAR 27, 2024",PHX,Derrota,Casa
"MAR 25, 2024",MEM,Vitória,Casa
"MAR 23, 2024",POR,Vitória,Fora
"MAR 21, 2024",NYK,Vitória,Casa
"MAR 19, 2024",MIN,Vitória,Fora
"MAR 17, 2024",DAL,Derrota,Fora
"MAR 15, 2024",SAS,Vitória,Fora
"MAR 13, 2024",MIA,Vitória,Fora
"MAR 11, 2024",TOR,Vitória,Casa
"MAR 09, 2024",UTA,Vitória,Casa
"MAR 07, 2024",BOS,Vitória,Casa
"MAR 05, 2024",PHX,Derrota,Casa
"MAR 02, 2024",LAL,Vitória,Fora
"FEB 29, 2024",MIA,Vitória,Casa
"FEB 28, 2024",SAC,Vitória,Casa
"FEB 25, 2024",GSW,Vitória,Fora
"FEB 23, 2024",POR,Vitória,Fora
"FEB 22, 2024",WAS,Vitória,Casa
"FEB 14, 2024",SAC,Derrota,Casa
"FEB 12, 2024",MIL,Derrota,Fora
"FEB 09, 2024",SAC,Derrota,Fora
"FEB 08, 2024",LAL,Vitória,Fora
"FEB 04, 2024",POR,Vitória,Casa
"FEB 02, 2024",POR,Vitória,Casa
"JAN 31, 2024",OKC,Derrota,Fora
"JAN 29, 2024",MIL,Vitória,Casa
"JAN 27, 2024",PHI,Vitória,Casa
"JAN 25, 2024",NYK,Derrota,Fora
"JAN 23, 2024",IND,Vitória,Fora
"JAN 21, 2024",WAS,Vitória,Fora
"JAN 19, 2024",BOS,Vitória,Fora
"JAN 16, 2024",PHI,Derrota,Fora
"JAN 14, 2024",IND,Vitória,Casa
"JAN 12, 2024",NOP,Vitória,Casa
"JAN 10, 2024",UTA,Derrota,Fora
"JAN 07, 2024",DET,Vitória,Casa
"JAN 05, 2024",ORL,Derrota,Casa
"JAN 04, 2024",GSW,Vitória,Fora
"JAN 01, 2024",CHA,Vitória,Casa
"DEC 29, 2023",OKC,Derrota,Casa
"DEC 28, 2023",MEM,Vitória,Casa
"DEC 25, 2023",GSW,Vitória,Casa
"DEC 23, 2023",CHA,Vitória,Fora
"DEC 22, 2023",BKN,Vitória,Fora
"DEC 20, 2023",TOR,Vitória,Fora
"DEC 18, 2023",DAL,Vitória,Casa
"DEC 16, 2023",OKC,Derrota,Casa
"DEC 14, 2023",BKN,Vitória,Casa
"DEC 12, 2023",CHI,Vitória,Fora
"DEC 11, 2023",ATL,Vitória,Fora
"DEC 08, 2023",HOU,Derrota,Casa
"DEC 06, 2023",LAC,Derrota,Fora
"DEC 02, 2023",SAC,Derrota,Fora
"DEC 01, 2023",PHX,Vitória,Fora
"NOV 29, 2023",HOU,Vitória,Casa
"NOV 27, 2023",LAC,Vitória,Fora
"NOV 26, 2023",SAS,Vitória,Casa
"NOV 24, 2023",HOU,Derrota,Fora
"NOV 22, 2023",ORL,Derrota,Fora
"NOV 20, 2023",DET,Vitória,Fora
"NOV 19, 2023",CLE,Derrota,Fora
"NOV 17, 2023",NOP,Derrota,Fora
"NOV 14, 2023",LAC,Vitória,Casa
"NOV 12, 2023",HOU,Derrota,Fora
"NOV 08, 2023",GSW,Vitória,Casa
"NOV 06, 2023",NOP,Vitória,Casa
"NOV 04, 2023",CHI,Vitória,Casa
"NOV 03, 2023",DAL,Vitória,Casa
"NOV 01, 2023",MIN,Derrota,Fora
"OCT 30, 2023",UTA,Vitória,Casa
"OCT 29, 2023",OKC,Vitória,Fora
"OCT 27, 2023",MEM,Vitória,Fora
"OCT 24, 2023",LAL,Vitória,Casa
