Data do jogo,Adversário,Vitória ou derrota,Casa ou fora,Placar
"APR 14, 2024",MEM,Vitória,Fora,111 - 126
"APR 12, 2024",SAS,Derrota,Fora,121 - 120
"APR 10, 2024",MIN,Vitória,Casa,116 - 107
"APR 09, 2024",UTA,Vitória,Fora,95 - 111
"APR 06, 2024",ATL,Vitória,Casa,142 - 110
"APR 04, 2024",LAC,Derrota,Fora,102 - 100
"APR 02, 2024",SAS,Vitória,Casa,110 - 105
"MAR 31, 2024",CLE,Vitória,Casa,130 - 101
"MAR 29, 2024",MIN,Derrota,Casa,98 - 111
"MAR 27, 2024",PHX,Derrota,Casa,97 - 104
"MAR 25, 2024",MEM,Vitória,Casa,128 - 103
"MAR 23, 2024",POR,Vitória,Fora,111 - 114
"MAR 21, 2024",NYK,Vitória,Casa,113 - 100
"MAR 19, 2024",MIN,Vitória,Fora,112 - 115
"MAR 17, 2024",DAL,Derrota,Fora,107 - 105
"MAR 15, 2024",SAS,Vitória,Fora,106 - 117
"MAR 13, 2024",MIA,Vitória,Fora,88 - 100
"MAR 11, 2024",TOR,Vitória,Casa,125 - 119
"MAR 09, 2024",UTA,Vitória,Casa,142 - 121
"MAR 07, 2024",BOS,Vitória,Casa,115 - 109
"MAR 05, 2024",PHX,Derrota,Casa,107 - 117
"MAR 02, 2024",LAL,Vitória,Fora,114 - 124
"FEB 29, 2024",MIA,Vitória,Casa,103 - 97
"FEB 28, 2024",SAC,Vitória,Casa,117 - 96
"FEB 25, 2024",GSW,Vitória,Fora,103 - 119
"FEB 23, 2024",POR,Vitória,Fora,112 - 127
"FEB 22, 2024",WAS,Vitória,Casa,130 - 110
"FEB 14, 2024",SAC,Derrota,Casa,98 - 102
"FEB 12, 2024",MIL,Derrota,Fora,112 - 95
"FEB 09, 2024",SAC,Derrota,Fora,135 - 106
"FEB 08, 2024",LAL,Vitória,Fora,106 - 114
"FEB 04, 2024",POR,Vitória,Casa,112 - 103
"FEB 02, 2024",POR,Vitória,Casa,120 - 108
"JAN 31, 2024",OKC,Derrota,Fora,105 - 100
"JAN 29, 2024",MIL,Vitória,Casa,113 - 107
"JAN 27, 2024",PHI,Vitória,Casa,111 - 105
"JAN 25, 2024",NYK,Derrota,Fora,122 - 84
"JAN 23, 2024",IND,Vitória,Fora,109 - 114
"JAN 21, 2024",WAS,Vitória,Fora,104 - 113
"JAN 19, 2024",BOS,Vitória,Fora,100 - 102
"JAN 16, 2024",PHI,Derrota,Fora,126 - 121
"JAN 14, 2024",IND,Vitória,Casa,117 - 109
"JAN 12, 2024",NOP,Vitória,Casa,125 - 113
"JAN 10, 2024",UTA,Derrota,Fora,124 - 111
"JAN 07, 2024",DET,Vitória,Casa,131 - 114
"JAN 05, 2024",ORL,Derrota,Casa,120 - 122
"JAN 04, 2024",GSW,Vitória,Fora,127 - 130
"JAN 01, 2024",CHA,Vitória,Casa,111 - 93
"DEC 29, 2023",OKC,Derrota,Casa,93 - 119
"DEC 28, 2023",MEM,Vitória,Casa,142 - 105
"DEC 25, 2023",GSW,Vitória,Casa,120 - 114
"DEC 23, 2023",CHA,Vitória,Fora,95 - 102
"DEC 22, 2023",BKN,Vitória,Fora,117 - 122
"DEC 20, 2023",TOR,Vitória,Fora,104 - 113
"DEC 18, 2023",DAL,Vitória,Casa,130 - 104
"DEC 16, 2023",OKC,Derrota,Casa,117 - 118
"DEC 14, 2023",BKN,Vitória,Casa,124 - 101
"DEC 12, 2023",CHI,Vitória,Fora,106 - 114
"DEC 11, 2023",ATL,Vitória,Fora,122 - 129
"DEC 08, 2023",HOU,Derrota,Casa,106 - 114
"DEC 06, 2023",LAC,Derrota,Fora,111 - 102
"DEC 02, 2023",SAC,Derrota,Fora,123 - 117
"DEC 01, 2023",PHX,Vitória,Fora,111 - 119
"NOV 29, 2023",HOU,Vitória,Casa,134 - 124
"NOV 27, 2023",LAC,Vitória,Fora,104 - 113
"NOV 26, 2023",SAS,Vitória,Casa,132 - 120
"NOV 24, 2023",HOU,Derrota,Fora,105 - 86
"NOV 22, 2023",ORL,Derrota,Fora,124 - 119
"NOV 20, 2023",DET,Vitória,Fora,103 - 107
"NOV 19, 2023",CLE,Derrota,Fora,121 - 109
"NOV 17, 2023",NOP,Derrota,Fora,115 - 110
"NOV 14, 2023",LAC,Vitória,Casa,111 - 108
"NOV 12, 2023",HOU,Derrota,Fora,107 - 104
"NOV 08, 2023",GSW,Vitória,Casa,108 - 105
"NOV 06, 2023",NOP,Vitória,Casa,134 - 116
"NOV 04, 2023",CHI,Vitória,Casa,123 - 101
"NOV 03, 2023",DAL,Vitória,Casa,125 - 114
"NOV 01, 2023",MIN,Derrota,Fora,110 - 89
"OCT 30, 2023",UTA,Vitória,Casa,110 - 102
"OCT 29, 2023",OKC,Vitória,Fora,95 - 128
"OCT 27, 2023",MEM,Vitória,Fora,104 - 108
"OCT 24, 2023",LAL,Vitória,Casa,119 - 107
